"last_date","today_ok","no","no_","username_nl","followers","increase_nl","location","___newsletter_text___","username","increase","one_tw_username","one_favorite","one_followers_count","one_created_at","two_tw_username","two_favorite","two_followers_count","two_created_at","diff_last_7_days"
2022-05-28,1,1,1.|,@tim_onlyfans,[517K],|+26153,"(New York City, USA)","1. @tim_onlyfans [517K] ⏫  |+26153 (New York City, USA) ",@tim_onlyfans,|+26153,tim_onlyfans,1,491308,2022-05-21 02:00:00.000,tim_onlyfans,1,517461,2022-05-28 02:00:00.000,26153
2022-05-28,1,2,2.|,@wolfmannxxx,[860K],|+21836,,2. @wolfmannxxx [860K] ⏫  |+21836,@wolfmannxxx,|+21836,wolfmannxxx,1,838575,2022-05-21 02:00:00.000,wolfmannxxx,1,860411,2022-05-28 02:00:00.000,21836
2022-05-28,1,3,3.|,@jakipz,[1296K],|+19097,(Canada),3. @jakipz [1296K] ⏫  |+19097 (Canada) ,@jakipz,|+19097,jakipz,1,1276703,2022-05-21 02:00:00.000,jakipz,1,1295800,2022-05-28 02:00:00.000,19097
2022-05-28,1,4,4.|,@goldengeorgiii,[96K],|+17953,,4. @goldengeorgiii [96K] ⏫  |+17953,@goldengeorgiii,|+17953,goldengeorgiii,1,78138,2022-05-21 02:00:00.000,goldengeorgiii,1,96091,2022-05-28 02:00:00.000,17953
2022-05-28,1,5,5.|,@sixnusx,[196K],|+16453,,5. @sixnusx [196K] ⏫  |+16453,@sixnusx,|+16453,sixnusx,1,179127,2022-05-21 02:00:00.000,sixnusx,1,195580,2022-05-28 02:00:00.000,16453
2022-05-28,1,6,6.|,@rhyheimx,[492K],|+15884,"(Los Angeles, CA)","6. @rhyheimx [492K] ⏫  |+15884 (Los Angeles, CA) ",@rhyheimx,|+15884,rhyheimx,1,476326,2022-05-21 02:00:00.000,rhyheimx,1,492210,2022-05-28 02:00:00.000,15884
2022-05-28,1,7,7.|,@gattouz0,[320K],|+15489,"(Montréal, Québec)","7. @gattouz0 [320K] ⏫  |+15489 (Montréal, Québec) ",@gattouz0,|+15489,gattouz0,1,304838,2022-05-21 02:00:00.000,gattouz0,1,320327,2022-05-28 02:00:00.000,15489
2022-05-28,1,8,8.|,@tylerwu_97,[499K],|+14987,"(Los Angeles, CA)","8. @tylerwu_97 [499K] ⏫  |+14987 (Los Angeles, CA) ",@tylerwu_97,|+14987,tylerwu_97,1,483819,2022-05-21 02:00:00.000,tylerwu_97,1,498806,2022-05-28 02:00:00.000,14987
2022-05-28,1,9,9.|,@boytattook,[239K],|+14948,,9. @boytattook [239K] ⏫  |+14948,@boytattook,|+14948,boytattook,1,223835,2022-05-21 02:00:00.000,boytattook,1,238783,2022-05-28 02:00:00.000,14948
2022-05-28,1,10,10.|,@angelokonly,[287K],|+13910,,10. @angelokonly [287K] ⏫  |+13910,@angelokonly,|+13910,angelokonly,1,273365,2022-05-21 02:00:00.000,angelokonly,1,287275,2022-05-28 02:00:00.000,13910
2022-05-28,1,11,11.|,@_leonmike17,[513K],|+13669,"(Miami, FL)","11. @_leonmike17 [513K] ⏫  |+13669 (Miami, FL) ",@_leonmike17,|+13669,_leonmike17,1,499556,2022-05-21 02:00:00.000,_leonmike17,1,513225,2022-05-28 02:00:00.000,13669
2022-05-28,1,12,12.|,@fittfilou,[220K],|+13160,(MIAMI),12. @fittfilou [220K] ⏫  |+13160 (MIAMI) ,@fittfilou,|+13160,fittfilou,1,206748,2022-05-21 02:00:00.000,fittfilou,1,219908,2022-05-28 02:00:00.000,13160
2022-05-28,1,13,13.|,@nineinchtop,[99K],|+13048,,13. @nineinchtop [99K] ⏫  |+13048,@nineinchtop,|+13048,nineinchtop,1,85634,2022-05-21 02:00:00.000,nineinchtop,1,98682,2022-05-28 02:00:00.000,13048
2022-05-28,1,14,14.|,@aospinad,[848K],|+12664,(Ariana Grande),14. @aospinad [848K] ⏫  |+12664 (Ariana Grande) ,@aospinad,|+12664,aospinad,1,835682,2022-05-21 02:00:00.000,aospinad,1,848346,2022-05-28 02:00:00.000,12664
2022-05-28,1,15,15.|,@marco_maxxx,[177K],|+12370,"(Buenos Aires, Argentinien)","15. @marco_maxxx [177K] ⏫  |+12370 (Buenos Aires, Argentinien) ",@marco_maxxx,|+12370,marco_maxxx,1,164625,2022-05-21 02:00:00.000,marco_maxxx,1,176995,2022-05-28 02:00:00.000,12370
2022-05-28,1,16,16.|,@lockedboyeli,[224K],|+12178,"(Los Angeles, CA)","16. @lockedboyeli [224K] ⏫  |+12178 (Los Angeles, CA) ",@lockedboyeli,|+12178,lockedboyeli,1,211823,2022-05-21 02:00:00.000,lockedboyeli,1,224001,2022-05-28 02:00:00.000,12178
2022-05-28,1,17,17.|,@samironeboy,[269K],|+11871,(Ciudad Autónoma Buenos Aires),17. @samironeboy [269K] ⏫  |+11871 (Ciudad Autónoma Buenos Aires) ,@samironeboy,|+11871,samironeboy,1,257324,2022-05-21 02:00:00.000,samironeboy,1,269195,2022-05-28 02:00:00.000,11871
2022-05-28,1,18,18.|,@xescuderomilton,[217K],|+11744,"(Buenos Aires, Argentina)","18. @xescuderomilton [217K] ⏫  |+11744 (Buenos Aires, Argentina) ",@xescuderomilton,|+11744,xescuderomilton,1,204814,2022-05-21 02:00:00.000,xescuderomilton,1,216558,2022-05-28 02:00:00.000,11744
2022-05-28,1,19,19.|,@colbyx14,[218K],|+11540,"(Rio de Janeiro, Brasil)","19. @colbyx14 [218K] ⏫  |+11540 (Rio de Janeiro, Brasil) ",@colbyx14,|+11540,colbyx14,1,206275,2022-05-21 02:00:00.000,colbyx14,1,217815,2022-05-28 02:00:00.000,11540
2022-05-28,1,20,20.|,@oscarharrisonx,[162K],|+11504,(40% off ➡️),20. @oscarharrisonx [162K] ⏫  |+11504 (40% off ➡️) ,@oscarharrisonx,|+11504,oscarharrisonx,1,150034,2022-05-21 02:00:00.000,oscarharrisonx,1,161538,2022-05-28 02:00:00.000,11504
2022-05-28,1,21,21.|,@estudiantehotsv,[72K],|+11335,(El Salvador),21. @estudiantehotsv [72K] ⏫  |+11335 (El Salvador) ,@estudiantehotsv,|+11335,estudiantehotsv,1,61050,2022-05-21 02:00:00.000,estudiantehotsv,1,72385,2022-05-28 02:00:00.000,11335
2022-05-28,1,22,22.|,@luiskapx,[152K],|+11028,(Canada),22. @luiskapx [152K] ⏫  |+11028 (Canada) ,@luiskapx,|+11028,luiskapx,1,141100,2022-05-21 02:00:00.000,luiskapx,1,152128,2022-05-28 02:00:00.000,11028
2022-05-28,1,23,23.|,@teninchtopx,[758K],|+10857,"(London, UK )","23. @teninchtopx [758K] ⏫  |+10857 (London, UK ) ",@teninchtopx,|+10857,teninchtopx,1,747270,2022-05-21 02:00:00.000,teninchtopx,1,758127,2022-05-28 02:00:00.000,10857
2022-05-28,1,24,24.|,@_carterdane,[184K],|+10561,,24. @_carterdane [184K] ⏫  |+10561,@_carterdane,|+10561,_carterdane,1,173225,2022-05-21 02:00:00.000,_carterdane,1,183786,2022-05-28 02:00:00.000,10561
2022-05-28,1,25,25.|,@twinkboysheaven,[268K],|+10496,"(Los Angeles, CA)","25. @twinkboysheaven [268K] ⏫  |+10496 (Los Angeles, CA) ",@twinkboysheaven,|+10496,twinkboysheaven,1,257038,2022-05-21 02:00:00.000,twinkboysheaven,1,267534,2022-05-28 02:00:00.000,10496
2022-05-28,1,26,26.|,@themasonblaze,[797K],|+10475,,26. @themasonblaze [797K] ⏫  |+10475,@themasonblaze,|+10475,themasonblaze,1,786494,2022-05-21 02:00:00.000,themasonblaze,1,796969,2022-05-28 02:00:00.000,10475
2022-05-28,1,27,27.|,@alexpander13,[57K],|+10333,,27. @alexpander13 [57K] ⏫  |+10333,@alexpander13,|+10333,alexpander13,1,46538,2022-05-21 02:00:00.000,alexpander13,1,56871,2022-05-28 02:00:00.000,10333
2022-05-28,1,28,28.|,@midgethotx,[51K],|+9968,,28. @midgethotx [51K] ⏫  |+9968,@midgethotx,|+9968,midgethotx,1,40732,2022-05-21 02:00:00.000,midgethotx,1,50700,2022-05-28 02:00:00.000,9968
2022-05-27,0,29,29.|,@tonysmithx100,[35K],|+9882,,29. @tonysmithx100 [35K] ⏫  |+9882,@tonysmithx100,|+9882,tonysmithx100,1,25549,2022-05-22 02:00:00.000,tonysmithx100,1,35431,2022-05-27 02:00:00.000,9882
