"rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date"
1,jakipz,1295800,837800,Canada,Canada,,Canada,,Canada,,,,,,2022-05-28 02:00:00.000,2022-05-19 02:00:00,2022-05-28 02:00:00.000
2,diegor_barros,1086855,163300,"London, England",London,England,"London, England",,"London, England",,,,,,2022-05-28 02:00:00.000,2022-05-21 02:00:00,2022-05-28 02:00:00.000
3,christian_sty,925715,91300,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-05-28 02:00:00.000,2022-05-06 02:00:00,2022-05-28 02:00:00.000
4,hatts17,867693,729200,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-05 02:00:00,2022-05-28 02:00:00.000
5,wolfmannxxx,860411,91400,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
6,aospinad,848346,132100,Ariana Grande,Ariana Grande,,Ariana Grande,,Ariana Grande,,,,,,2022-05-28 02:00:00.000,2022-05-23 02:00:00,2022-05-28 02:00:00.000
7,brandtsboys,831312,,United States,United States,,United States,,United States,,,,,,2022-05-28 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8,jordanxbrandt,822530,,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-21 02:00:00,2022-05-28 02:00:00.000
9,griffinbarrowsx,818282,117300,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-07 02:00:00,2022-05-28 02:00:00.000
10,themasonblaze,796969,115100,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
11,austinwolfpack,786299,,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
12,teninchtopx,758127,114700,"London, UK ",London,UK,"London, UK",,"London, UK",,,,,,2022-05-28 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
13,angel_jacoob,731849,48800,Europe,Europe,,Europe,,Europe,,,,,,2022-05-11 02:00:00.000,2022-05-01 02:00:00,2022-05-28 02:00:00.000
14,kaixmatty,731134,10600,"Los Angeles, CA",Los Angeles,CA,"Los Angeles, CA",,"Los Angeles, CA",,,,CA,LOS ANGELES,2022-05-28 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
15,diegosansporn,723721,70400,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-05-28 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
16,elijahzaynexxx,700645,16300,"Los Angeles, CA",Los Angeles,CA,"Los Angeles, CA",,"Los Angeles, CA",,,,CA,LOS ANGELES,2022-05-28 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
17,rodopodprivate,671228,,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
