"rank_","?column?","followers","rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date","profile_img_url"
1,@draventorresxxx,501K,62,draventorresxxx,500538,,"South west, TX ",South west,TX,"South west, TX",,"South west, TX",,,,TX,,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/378800000708352455/44042e9c2c1fcd5f5b95e9708c9b4c35_normal.jpeg
2,@danejaxson,467K,77,danejaxson,466773,24600,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1529558839594561537/_TS_Z8aQ_400x400.jpg
3,@thedannyice,415K,107,thedannyice,415288,49100,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1469845700720611328/nvPTfgQm_400x400.jpg
4,@cutesyfemboy,341K,181,cutesyfemboy,340790,36600,"San Antonio, TX   |   22yr old",San Antonio,TX   |   22yr old,"San Antonio, TX   |   22yr old",,"San Antonio, TX   |   22yr old",,,,TX,SAN ANTONIO,2022-06-16 02:00:00.000,2022-06-15 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1484592916815400960/FxsOAJY8_400x400.jpg
5,@wolfhudsonisbi,227K,479,wolfhudsonisbi,227087,5600,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1471732622988652548/Tv0KrNXZ_400x400.jpg
6,@0hjae,210K,559,0hjae,210487,12900,"Cali, Texas, Florida",Cali,Texas,"Cali, Texas, Florida",,"Cali, Texas, Florida",,,,TX,,2022-06-16 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1389394795190173698/kWGxV8wE_400x400.jpg
7,@alexbetz01,205K,580,alexbetz01,205191,18800,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-15 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1341626329675034625/Tsh2-Et8_400x400.jpg
8,@skiereyezxxx,184K,698,skiereyezxxx,184156,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-06 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1509071936940347401/l6d6QTRJ_400x400.jpg
9,@danteandromeo,183K,705,danteandromeo,183353,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-16 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1303123592083890176/Hf4XouuB_400x400.jpg
10,@everwhorez,183K,708,everwhorez,182976,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-12 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1453167538796470275/i3XCb1Cm_400x400.jpg
11,@smokepoleboy1,182K,715,smokepoleboy1,182019,9800,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-15 02:00:00.000,2022-06-15 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1536156443052756992/sxXIRb7e_400x400.jpg
12,@dallasmaver1ck,180K,730,dallasmaver1ck,180107,9800,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-08 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1485374334290046979/Wc5cQkYO_400x400.jpg
13,@devinholtxxx,173K,772,devinholtxxx,172978,80800,Texas,Texas,,Texas,,Texas,,,,TX,,2022-06-15 02:00:00.000,2022-06-09 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1477465044749332485/ehkYHtse_400x400.jpg
