"rank_","?column?","followers","rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date","profile_img_url"
1,@diegor_barros,1118K,2,diegor_barros,1117775,169600,"London, England",London,England,"London, England",,"London, England",,,,,,2022-07-01 02:00:00.000,2022-06-30 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1248210438010982401/jKbtszF1_400x400.jpg
2,@teninchtopx,804K,11,teninchtopx,803506,119800,"London, UK ",London,UK,"London, UK",,"London, UK",,,,,,2022-07-01 02:00:00.000,2022-06-30 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1253745941259091970/6UGhHFFo_400x400.jpg
3,@caioveyronxxx,448K,90,caioveyronxxx,447594,7200,"London, England",London,England,"London, England",,"London, England",,,,,,2022-06-30 02:00:00.000,2022-05-30 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1504345352115298306/LrPtaAig_400x400.jpg
4,@gabrielcrossxxx,411K,109,gabrielcrossxxx,411251,61200,"London, England",London,England,"London, England",,"London, England",,,,,,2022-06-30 02:00:00.000,2022-06-22 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1447251585915031553/D73HnC2B_400x400.jpg
5,@kaydengrayxxx,394K,120,kaydengrayxxx,393767,31800,"London, England",London,England,"London, England",,"London, England",,,,,,2022-07-01 02:00:00.000,2022-06-25 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1391008407054868480/_7cHduhM_400x400.jpg
6,@seanaustinxxx,392K,123,seanaustinxxx,391802,38200,"London, England",London,England,"London, England",,"London, England",,,,,,2022-07-01 02:00:00.000,2022-06-13 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1343267205186789385/zQexWsSX_400x400.jpg
7,@nicknorthporn,368K,150,nicknorthporn,368211,8,"London, England",London,England,"London, England",,"London, England",,,,,,2022-07-01 02:00:00.000,2022-06-28 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1318238106907181056/ZEwYLXMi_400x400.jpg
8,@igormillerof,367K,151,igormillerof,367192,58700,"London, England",London,England,"London, England",,"London, England",,,,,,2022-06-30 02:00:00.000,2022-06-27 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1313767340950122497/cCLuWxK6_400x400.jpg
9,@sexaddictionbb,349K,170,sexaddictionbb,349400,,"London, England",London,England,"London, England",,"London, England",,,,,,2022-06-30 02:00:00.000,2022-05-30 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1373601946712612867/BHhblg_1_400x400.jpg
10,@romeo_twink,338K,191,romeo_twink,337521,221900,"London, England",London,England,"London, England",,"London, England",,,,,,2022-06-30 02:00:00.000,2022-06-27 02:00:00.000,2022-07-01 02:00:00.000,
11,@benjboyx,330K,206,benjboyx,330078,17600,"London, England",London,England,"London, England",,"London, England",,,,,,2022-07-01 02:00:00.000,2022-06-27 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1357868549453328386/PVvn22qh_400x400.jpg
12,@codyblackx,309K,249,codyblackx,309008,11500,"London, England",London,England,"London, England",,"London, England",,,,,,2022-07-01 02:00:00.000,2022-06-30 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1491601149669085186/pbD1XAAC_400x400.jpg
13,@lookgregs,305K,264,lookgregs,305156,48600,London,London,,London,,London,,,,,,2022-07-01 02:00:00.000,2022-06-26 02:00:00.000,2022-07-01 02:00:00.000,http://pbs.twimg.com/profile_images/1530217985683738624/W3mxblMA_400x400.jpg
